name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,5111,261,208,59,168,0,0,10,22.13
Buzzwole,5103,277,249,58,175,20,0,10,18.13
Charizard,4941,278,178,56,137,30,0,10,0.00
Cinderace,3929,247,127,58,76,30,0,10,60.3
Decidueye,3832,252,127,71,76,30,0,15,52.55
Dragonite,4869,293,208,57,158,20,0,10,17.75
Duraludon,3975,284,164,61,110,20,0,15,60.22
Garchomp,4869,280,237,56,183,20,0,10,27.41
Greninja,3832,268,127,58,76,30,0,10,52.55
Lucario,4877,270,205,59,158,20,0,10,22.21
Machamp,4953,287,250,56,163,20,0,15,17.75
Tsareena,4724,273,204,57,164,20,0,15,25.47
Tyranitar,5161,279,249,56,187,20,0,10,17.61
Snorlax,5987,245,294,59,221,0,5,0,22.21
Glaceon,4475,58,91,415,69,20,5,0,46.41
Blastoise,5769,204,293,190,205,0,10,0,17.75
Blissey,5997,203,104,266,156,0,10,0,14.04
Crustle,5971,245,293,58,201,0,10,0,18.1
Eldegoss,5190,203,104,295,79,0,10,0,14.04
Greedent,5467,240,220,59,182,0,10,0,18.1
Hoopa,5161,203,165,276,110,0,10,0,22.21
Mamoswine,5743,231,249,57,187,0,10,0,17.75
Sylveon,4920,247,136,304,100,0,10,0,22.13
Trevenant,5819,238,270,59,213,0,10,0,18.1
Wigglytuff,5779,203,271,247,244,0,10,0,14.05
Mr. Mime,5741,208,212,198,183,0,10,0,18.13
Slowbro,5724,207,213,196,182,0,10,0,18.1
Cramorant,4517,196,158,331,105,0,15,0,26.27
Delphox,4456,195,88,416,71,0,15,0,15.8
Espeon,4462,196,91,434,71,0,15,0,10.00
Gardevoir,4408,195,88,418,70,0,15,0,10.00
Gengar,4905,243,133,320,97,0,15,0,21.59
Mew,4603,200,123,462,103,0,15,0,14.07
Pikachu,4516,198,92,418,72,0,15,0,10.00
Venusaur,4469,196,88,403,69,0,15,0,13.87
Ninetales,4452,196,91,435,71,0,15,0,18.1
Absol,4221,352,136,60,95,10,20,10,18.13
Aegislash,4665,241,127,57,88,10,20,0,35.7
Talonflame,4293,386,147,57,102,10,20,0,21.59
Zeraora,4353,358,158,60,105,10,20,0,18.13
