name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,4219,196,147,40,119,0,0,5,16.32
Buzzwole,4001,205,160,35,112,10,0,5,13.29
Charizard,3771,199,106,32,81,15,0,5,0.00
Cinderace,3304,174,75,32,45,15,0,5,26.53
Decidueye,3273,167,75,37,45,15,0,5,23.96
Dragonite,3647,197,121,32,92,10,0,5,12.54
Duraludon,3395,195,108,37,74,10,0,5,30.38
Garchomp,3647,189,138,32,104,10,0,5,15.71
Greninja,3273,186,75,32,45,15,0,5,23.96
Lucario,3910,205,129,36,99,10,0,5,14.95
Machamp,3809,205,148,32,96,10,0,5,12.54
Tsareena,3633,193,121,32,97,10,0,5,15.07
Tyranitar,3809,193,142,32,108,10,0,5,12.4
Snorlax,4389,203,177,36,132,0,0,0,14.95
Blastoise,4060,168,163,95,114,0,5,0,12.54
Blissey,4694,168,74,157,110,0,5,0,12.1
Crustle,4692,211,198,39,136,0,5,0,14.22
Eldegoss,4274,168,74,173,56,0,5,0,12.1
Glaceon,3864,39,65,264,48,10,5,0,28.97
Greedent,4285,206,151,40,124,0,5,0,14.22
Hoopa,4041,160,110,136,74,0,5,0,14.95
Mamoswine,4087,190,139,32,105,0,5,0,12.54
Sylveon,4195,208,96,183,70,0,5,0,16.32
Trevenant,4589,208,188,40,144,0,5,0,14.22
Wigglytuff,4581,168,184,148,165,0,5,0,12.11
Cramorant,3789,158,99,165,67,0,5,0,16.6
Delphox,3679,154,52,190,42,0,5,0,11.9
Espeon,3858,166,65,250,50,0,5,0,10.00
Gardevoir,3596,154,52,171,41,0,5,0,10.00
Gengar,3931,192,79,159,57,0,5,0,13.8
Mew,3828,158,80,247,72,0,5,0,11.65
Pikachu,3788,160,58,199,45,0,5,0,10.00
Venusaur,3683,154,52,166,41,0,5,0,11.27
Mr. Mime,4245,174,128,110,110,0,5,0,13.29
Slowbro,4527,180,144,126,124,0,5,0,14.22
Ninetales,3852,166,65,251,50,0,5,0,14.22
Absol,3495,244,86,36,60,5,10,5,13.29
Aegislash,3547,192,75,32,52,5,10,0,21.77
Talonflame,3440,261,87,32,60,5,10,0,13.8
Zeraora,3550,239,99,36,67,5,10,0,13.29
