name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,3352,132,87,22,70,0,0,0,10.67
Buzzwole,3412,166,113,23,79,0,0,0,10.71
Charizard,3264,165,74,21,57,0,0,0,0.00
Cinderace,3034,140,53,21,32,0,0,0,11.87
Decidueye,3031,130,53,22,32,0,0,0,11.57
Dragonite,3117,155,83,21,64,0,0,0,10.29
Duraludon,3085,148,78,24,55,0,0,0,14.39
Garchomp,3117,150,95,21,71,0,0,0,10.64
Greninja,3031,151,53,21,32,0,0,0,11.57
Lucario,3392,170,89,23,69,0,0,0,11.07
Machamp,3313,170,104,21,68,0,0,0,10.29
Tsareena,3160,159,85,21,69,0,0,0,10.57
Tyranitar,3224,155,96,21,74,0,0,0,10.29
Blastoise,3319,152,107,55,75,0,0,0,10.29
Blissey,3427,134,44,52,65,0,0,0,10.22
Crustle,3447,179,108,22,74,0,0,0,10.44
Eldegoss,3383,134,44,54,33,0,0,0,10.22
Glaceon,3270,22,38,117,27,0,0,0,12.00
Greedent,3135,174,83,22,67,0,0,0,10.44
Hoopa,3443,136,80,61,55,0,0,0,11.07
Mamoswine,3371,172,91,21,70,0,0,0,10.29
Mr. Mime,3445,155,82,63,71,0,0,0,10.71
Slowbro,3362,153,78,58,67,0,0,0,10.44
Snorlax,3535,181,114,23,83,0,0,0,11.07
Sylveon,3489,171,57,64,41,0,0,0,10.67
Trevenant,3391,178,109,22,78,0,0,0,10.44
Wigglytuff,3415,134,100,51,89,0,0,0,10.22
Absol,3107,186,59,23,41,0,0,0,10.71
Aegislash,3062,171,53,21,37,0,0,0,15.98
Talonflame,3071,207,61,21,42,0,0,0,10.43
Zeraora,3120,176,69,23,46,0,0,0,10.71
Cramorant,3399,139,69,75,46,0,0,0,11.42
Delphox,3343,136,37,92,29,0,0,0,10.21
Espeon,3269,137,38,71,29,0,0,0,10.00
Gardevoir,3245,136,37,64,29,0,0,0,10.00
Gengar,3510,170,55,89,40,0,0,0,10.43
Mew,3414,136,56,132,55,0,0,0,10.36
Ninetales,3266,137,38,72,29,0,0,0,10.44
Pikachu,3399,140,40,82,31,0,0,0,10.00
Venusaur,3343,136,37,63,29,0,0,0,10.14
