name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,6198,340,284,81,228,0,0,10,29.22
Buzzwole,6259,352,342,82,241,20,0,10,23.21
Charizard,5953,346,241,77,185,30,0,10,0.00
Cinderace,4468,309,172,80,103,30,0,10,89.52
Decidueye,4316,325,172,100,103,30,0,20,77.28
Dragonite,5925,376,284,78,216,20,0,10,22.24
Duraludon,4585,377,222,86,149,20,0,20,80.00
Garchomp,5925,359,323,77,251,20,0,10,37.53
Greninja,4316,338,172,80,103,30,0,10,77.28
Lucario,5894,339,284,83,218,20,0,10,29.83
Machamp,5942,357,338,77,221,20,0,15,22.24
Tsareena,5667,342,276,78,222,20,0,15,34.47
Tyranitar,6330,355,340,77,256,20,0,10,22.1
Glaceon,5218,82,125,599,95,20,10,0,67.67
Snorlax,7663,288,417,83,314,0,10,0,29.83
Blastoise,7247,238,405,271,284,0,10,0,22.24
Blissey,7585,245,142,398,213,0,10,0,16.4
Crustle,7530,284,407,82,280,0,10,0,22.82
Eldegoss,6305,245,142,444,107,0,10,0,16.4
Greedent,6908,282,304,83,252,0,10,0,22.82
Hoopa,6335,249,222,423,149,0,10,0,29.83
Mamoswine,7174,265,345,79,257,0,10,0,22.24
Sylveon,5804,293,185,453,136,0,10,0,29.22
Trevenant,7319,275,370,83,295,0,10,0,22.82
Wigglytuff,7236,245,377,368,338,0,10,0,16.41
Mr. Mime,7311,244,302,291,259,0,10,0,23.21
Slowbro,7183,241,295,282,252,0,10,0,21.82
Cramorant,5281,235,218,506,146,0,15,0,36.44
Delphox,5129,231,119,612,96,0,15,0,19.17
Espeon,5199,233,125,658,96,0,15,0,10.00
Gardevoir,5109,230,119,632,95,0,15,0,10.00
Gengar,5747,288,179,459,131,0,15,0,28.33
Mew,5416,243,169,688,136,0,15,0,16.61
Pikachu,5280,237,128,647,99,0,15,0,10.00
Venusaur,5148,232,119,608,94,0,15,0,16.12
Ninetales,5185,233,125,660,96,0,15,0,22.82
Absol,4983,467,189,85,131,10,20,10,23.21
Aegislash,5632,284,172,78,119,10,20,0,44.99
Talonflame,5029,495,199,79,138,10,20,0,28.33
Zeraora,5195,483,218,85,146,10,20,0,23.21
