name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,4398,209,159,44,129,0,0,5,17.48
Buzzwole,4238,220,179,40,126,10,0,5,14.33
Charizard,3905,208,114,35,87,15,0,5,0.00
Cinderace,3376,183,81,35,49,15,0,5,30.4
Decidueye,3337,177,81,41,49,15,0,5,27.24
Dragonite,3787,208,131,35,100,10,0,5,13.14
Duraludon,3520,214,120,42,82,10,0,5,36.81
Garchomp,3787,199,149,35,113,10,0,5,17.05
Greninja,3337,195,81,35,49,15,0,5,27.24
Lucario,4118,219,145,41,112,10,0,5,16.51
Machamp,3940,214,160,35,104,10,0,5,13.14
Tsareena,4178,233,163,44,131,10,0,5,20.26
Tyranitar,3964,203,154,35,117,10,0,5,13.00
Snorlax,4733,212,202,41,151,0,5,0,16.51
Blastoise,4256,172,178,106,124,0,5,0,13.14
Blissey,4955,175,80,179,119,0,5,0,12.49
Crustle,4948,218,217,43,149,0,5,0,15.00
Eldegoss,4457,175,80,198,61,0,5,0,12.49
Glaceon,3986,43,70,294,52,10,5,0,32.46
Greedent,4522,213,165,44,136,0,5,0,15.00
Hoopa,4282,169,122,166,82,0,5,0,16.51
Mamoswine,4277,195,152,35,114,0,5,0,13.14
Sylveon,4340,216,104,207,76,0,5,0,17.48
Trevenant,4835,214,204,44,158,0,5,0,15.00
Wigglytuff,4821,175,201,168,181,0,5,0,12.5
Cramorant,3946,166,112,201,75,0,5,0,18.68
Delphox,4067,174,70,303,56,0,5,0,13.85
Espeon,3979,172,70,287,54,0,5,0,10.00
Gardevoir,3689,159,56,199,44,0,5,0,10.00
Gengar,4043,198,85,177,62,0,5,0,14.69
Mew,3995,167,89,293,79,0,5,0,12.17
Pikachu,3945,168,65,246,51,0,5,0,10.00
Venusaur,3773,159,56,193,44,0,5,0,11.57
Mr. Mime,4567,181,146,129,126,0,5,0,14.33
Slowbro,4767,186,158,140,136,0,5,0,15.00
Ninetales,3972,172,70,288,54,0,5,0,15.00
Absol,3651,267,97,41,68,5,10,5,14.33
Aegislash,3675,198,81,35,56,5,10,0,23.82
Talonflame,3538,275,94,35,65,5,10,0,14.69
Zeraora,3723,265,112,41,75,5,10,0,14.33
