name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,6674,375,317,91,254,0,0,10,32.32
Buzzwole,6724,382,380,92,268,20,0,15,25.26
Charizard,6433,378,271,87,208,30,0,15,0.00
Cinderace,4724,339,193,91,116,30,0,15,103.39
Decidueye,4546,359,193,114,116,30,0,25,89.02
Dragonite,6426,416,320,88,243,20,0,15,24.37
Duraludon,4830,414,246,96,164,20,0,25,80.00
Garchomp,6426,397,364,87,283,20,0,15,42.33
Greninja,4546,372,193,91,116,30,0,15,89.02
Lucario,6303,366,316,93,243,20,0,15,32.9
Machamp,6411,391,380,87,248,20,0,20,24.37
Tsareena,6115,374,310,88,250,20,0,20,38.74
Tyranitar,6885,391,384,87,289,20,0,15,24.23
Glaceon,5544,92,139,680,106,20,10,0,76.99
Snorlax,8338,305,466,93,352,0,10,0,32.9
Blastoise,7948,252,458,310,321,0,10,0,24.37
Blissey,8281,264,159,456,238,0,10,0,17.43
Crustle,8213,301,457,92,314,0,10,0,24.89
Eldegoss,6794,264,159,509,119,0,10,0,17.43
Greedent,7539,300,341,93,283,0,10,0,24.89
Hoopa,6808,267,245,482,164,0,10,0,32.9
Mamoswine,7854,281,390,89,291,0,10,0,24.37
Sylveon,6191,313,207,518,152,0,10,0,32.32
Trevenant,7976,291,413,93,331,0,10,0,24.89
Wigglytuff,7874,264,424,421,379,0,10,0,17.44
Mr. Mime,7942,259,338,328,290,0,10,0,25.26
Slowbro,7822,256,331,319,283,0,10,0,24.89
Absol,5290,513,210,95,146,10,20,10,25.26
Aegislash,6091,304,193,88,134,10,20,0,44.99
Talonflame,5378,546,224,89,155,10,20,0,31.53
Zeraora,5534,533,243,98,162,10,20,0,25.26
Cramorant,5589,250,243,576,162,0,25,0,40.53
Delphox,5448,248,134,705,108,0,25,0,20.77
Espeon,5522,249,139,756,107,0,25,0,10.00
Gardevoir,5442,247,134,733,107,0,25,0,10.00
Gengar,6146,309,201,525,147,0,25,0,31.53
Mew,5743,260,188,779,149,0,25,0,17.63
Pikachu,5588,253,142,740,110,0,25,0,10.00
Venusaur,5470,249,134,705,106,0,25,0,17.19
Ninetales,5506,249,139,759,107,0,25,0,24.89
