name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,4839,241,189,53,153,0,0,5,20.36
Buzzwole,4786,256,223,51,157,10,0,5,16.74
Charizard,4259,232,136,42,104,15,0,5,0.00
Cinderace,3805,233,117,53,70,15,0,5,53.61
Decidueye,3721,235,117,64,70,15,0,10,46.89
Dragonite,4627,274,191,52,146,10,0,5,16.72
Duraludon,3808,258,148,54,100,10,0,10,51.66
Garchomp,4157,227,179,42,137,10,0,5,20.59
Greninja,3721,252,117,53,70,15,0,5,46.89
Lucario,4599,251,183,52,141,10,0,5,20.12
Machamp,4286,239,191,42,124,10,0,10,14.72
Tsareena,4508,257,188,52,151,10,0,10,23.41
Tyranitar,4373,229,187,42,141,10,0,5,14.58
Snorlax,5528,233,260,52,195,0,5,0,20.12
Blastoise,4773,183,217,135,152,0,5,0,14.72
Blissey,5600,192,95,233,142,0,5,0,13.45
Crustle,5581,235,264,52,181,0,5,0,16.92
Eldegoss,4911,192,95,258,72,0,5,0,13.45
Glaceon,4289,52,83,369,63,10,5,0,41.09
Greedent,5107,230,199,53,164,0,5,0,16.92
Hoopa,4839,190,149,236,100,0,5,0,20.12
Mamoswine,4778,208,185,42,139,0,5,0,14.72
Sylveon,4699,235,124,267,91,0,5,0,20.36
Trevenant,5444,229,245,53,192,0,5,0,16.92
Wigglytuff,5414,192,244,217,220,0,5,0,13.46
Cramorant,4308,185,141,283,94,0,5,0,23.49
Delphox,4302,187,81,371,65,0,5,0,15.03
Espeon,4278,187,83,378,65,0,5,0,10.00
Gardevoir,4247,187,81,369,64,0,5,0,10.00
Gengar,4338,213,101,226,74,0,5,0,17.05
Mew,4380,188,110,400,94,0,5,0,13.37
Pikachu,4307,187,82,355,64,0,5,0,10.00
Venusaur,4011,172,67,265,53,0,5,0,12.36
Mr. Mime,5331,198,188,173,162,0,5,0,16.74
Slowbro,5359,199,192,175,164,0,5,0,16.92
Ninetales,4269,187,83,379,65,0,5,0,16.92
Absol,4012,321,122,53,85,5,10,5,16.74
Aegislash,4444,231,117,52,81,5,10,0,35.18
Talonflame,4124,361,135,52,94,5,10,0,20.05
Zeraora,4122,324,141,53,94,5,10,0,16.74
