name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,4603,224,173,48,140,0,0,5,18.82
Buzzwole,4499,237,200,45,141,10,0,5,15.48
Charizard,4066,219,124,38,95,15,0,5,0.00
Cinderace,3702,221,108,49,65,15,0,5,48.04
Decidueye,3629,221,108,58,65,15,0,10,42.17
Dragonite,3955,221,143,38,109,10,0,5,13.86
Duraludon,3657,235,133,48,91,10,0,10,43.88
Garchomp,3955,212,163,38,124,10,0,5,18.66
Greninja,3629,238,108,49,65,15,0,5,42.17
Lucario,4347,234,163,46,126,10,0,5,18.23
Machamp,4097,225,174,38,113,10,0,10,13.86
Tsareena,4328,244,174,48,140,10,0,10,21.69
Tyranitar,4150,215,169,38,128,10,0,5,13.72
Snorlax,5111,222,230,46,172,0,5,0,18.23
Blastoise,4491,177,196,119,137,0,5,0,13.86
Blissey,5255,183,87,204,130,0,5,0,12.94
Crustle,5242,226,239,47,164,0,5,0,15.89
Eldegoss,4668,183,87,226,66,0,5,0,12.94
Glaceon,4127,47,76,329,57,10,5,0,36.47
Greedent,4794,221,181,48,149,0,5,0,15.89
Hoopa,4547,179,135,199,91,0,5,0,18.23
Mamoswine,4505,201,167,38,125,0,5,0,13.86
Sylveon,4507,225,113,235,83,0,5,0,18.82
Trevenant,5118,221,223,48,174,0,5,0,15.89
Wigglytuff,5097,183,221,191,199,0,5,0,12.95
Cramorant,4118,175,126,240,84,0,5,0,20.97
Delphox,4174,180,75,334,60,0,5,0,14.39
Espeon,4118,179,76,329,59,0,5,0,10.00
Gardevoir,3801,165,61,233,48,0,5,0,10.00
Gengar,4177,205,92,199,67,0,5,0,15.76
Mew,4178,177,99,344,86,0,5,0,12.74
Pikachu,4117,177,73,298,57,0,5,0,10.00
Venusaur,3881,165,61,226,48,0,5,0,11.93
Mr. Mime,4921,189,166,150,143,0,5,0,15.48
Slowbro,5042,192,174,156,149,0,5,0,15.89
Ninetales,4110,179,76,330,59,0,5,0,15.89
Absol,3823,293,109,47,76,5,10,5,15.48
Aegislash,4259,223,108,48,75,5,10,0,29.25
Talonflame,3983,340,125,48,87,5,10,0,18.76
Zeraora,3913,293,126,47,84,5,10,0,15.48
