name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,7221,415,355,102,284,0,0,10,35.89
Buzzwole,7236,415,422,103,297,20,0,15,27.51
Charizard,7009,417,307,99,236,30,0,15,0.00
Cinderace,5031,375,219,104,131,30,0,15,120.03
Decidueye,4821,400,219,130,131,30,0,25,103.1
Dragonite,7028,463,363,100,276,20,0,15,26.93
Duraludon,5100,455,272,107,181,20,0,25,80.00
Garchomp,7028,442,413,99,321,20,0,15,48.09
Greninja,4821,412,219,104,131,30,0,15,103.1
Lucario,6753,396,351,104,270,20,0,15,36.28
Machamp,6974,431,430,99,281,20,0,20,26.93
Tsareena,6653,413,351,100,283,20,0,20,43.86
Tyranitar,7551,434,437,99,328,20,0,15,26.79
Glaceon,5919,103,156,773,119,20,10,0,87.7
Snorlax,9081,324,520,104,394,0,10,0,36.28
Blastoise,8790,270,522,356,366,0,10,0,26.93
Blissey,9081,285,178,523,267,0,10,0,18.62
Crustle,8998,321,514,103,354,0,10,0,27.27
Eldegoss,7356,285,178,584,133,0,10,0,18.62
Greedent,8265,321,384,104,319,0,10,0,27.27
Hoopa,7329,287,271,547,181,0,10,0,36.28
Mamoswine,8669,301,445,101,331,0,10,0,26.93
Sylveon,6636,336,232,593,170,0,10,0,35.89
Trevenant,8731,309,463,104,373,0,10,0,27.27
Wigglytuff,8608,285,477,482,427,0,10,0,18.63
Mr. Mime,8637,275,377,369,324,0,10,0,27.51
Slowbro,8556,273,373,362,319,0,10,0,27.27
Absol,5628,564,233,106,162,10,20,10,27.51
Aegislash,6641,328,219,100,152,10,20,0,44.99
Talonflame,5797,607,254,102,175,10,20,0,35.37
Zeraora,5908,588,270,106,180,10,20,0,27.51
Cramorant,5928,267,270,654,180,0,25,0,45.03
Delphox,5831,268,152,816,122,0,25,0,22.69
Espeon,5893,268,156,869,120,0,25,0,10.00
Gardevoir,5841,267,152,855,121,0,25,0,10.00
Gengar,6625,334,228,604,166,0,25,0,35.37
Mew,6103,279,208,879,164,0,25,0,18.76
Pikachu,5927,271,158,842,122,0,25,0,10.00
Venusaur,5857,269,152,822,120,0,25,0,18.47
Ninetales,5875,268,156,872,120,0,25,0,27.27
Scizor,7416,419,446,102,359,20,0,15,
Scyther,5856,566,263,102,177,10,20,0,
Dodrio,5856,560,263,105,177,10,0,0,27.27 
