name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,3469,141,95,24,77,0,0,0,11.43
Buzzwole,3590,178,127,27,89,0,0,0,11.49
Charizard,3341,170,79,23,61,0,0,0,0.00
Cinderace,3075,145,56,23,34,0,0,0,14.11
Decidueye,3068,136,56,24,34,0,0,0,13.46
Dragonite,3198,161,89,23,68,0,0,0,10.63
Duraludon,3179,162,87,28,61,0,0,0,19.22
Garchomp,3198,156,102,23,76,0,0,0,11.41
Greninja,3068,156,56,23,34,0,0,0,13.46
Lucario,3549,180,101,27,78,0,0,0,12.24
Machamp,3389,175,111,23,72,0,0,0,10.63
Tsareena,3232,164,90,23,73,0,0,0,11.26
Tyranitar,3313,161,103,23,79,0,0,0,10.63
Blastoise,3432,154,116,61,81,0,0,0,10.63
Blissey,3598,139,48,66,71,0,0,0,10.47
Crustle,3615,183,120,24,82,0,0,0,10.96
Eldegoss,3503,139,48,70,36,0,0,0,10.47
Glaceon,3350,24,42,137,30,0,0,0,14.29
Greedent,3290,178,92,24,75,0,0,0,10.95
Hoopa,3624,143,89,84,61,0,0,0,12.24
Mamoswine,3480,175,98,23,75,0,0,0,10.63
Mr. Mime,3687,161,96,77,83,0,0,0,11.49
Slowbro,3519,157,87,67,75,0,0,0,10.95
Snorlax,3793,188,133,27,98,0,0,0,12.24
Sylveon,3584,176,62,80,45,0,0,0,11.43
Trevenant,3553,182,120,24,87,0,0,0,10.95
Wigglytuff,3573,139,111,64,99,0,0,0,10.48
Absol,3224,204,67,27,47,0,0,0,11.49
Aegislash,3136,174,56,23,39,0,0,0,17.16
Talonflame,3127,215,65,23,45,0,0,0,10.94
Zeraora,3250,195,78,27,52,0,0,0,11.49
Cramorant,3517,145,78,102,52,0,0,0,12.99
Delphox,3394,139,39,107,31,0,0,0,10.47
Espeon,3349,141,42,95,32,0,0,0,10.00
Gardevoir,3299,139,39,80,31,0,0,0,10.00
Gengar,3574,173,59,100,43,0,0,0,10.94
Mew,3539,143,63,167,60,0,0,0,10.75
Ninetales,3345,141,42,96,32,0,0,0,10.95
Pikachu,3517,146,45,117,35,0,0,0,10.00
Venusaur,3395,139,39,79,31,0,0,0,10.31
