name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,7850,461,399,115,319,0,0,10,39.99
Buzzwole,7800,452,468,115,329,20,0,15,29.99
Charizard,7700,463,350,114,269,30,0,15,0.00
Cinderace,5400,418,250,119,149,30,0,15,140.00
Decidueye,5152,450,250,150,150,30,0,25,120.00
Dragonite,7750,520,415,115,315,20,0,15,30.00
Duraludon,5397,500,301,119,200,20,0,25,80.00
Garchomp,7750,496,472,114,367,20,0,15,55.00
Greninja,5152,460,250,119,149,30,0,15,120.00
Lucario,7249,429,390,116,300,20,0,15,40.00
Machamp,7650,479,490,114,320,20,0,20,30.00
Tsareena,7298,460,400,114,323,20,0,20,50.01
Tyranitar,8350,485,500,114,375,20,0,15,30.00
Glaceon,6350,116,175,880,134,20,10,0,100.00
Snorlax,9899,345,580,116,440,0,10,0,40.00
Blastoise,9800,292,599,412,420,0,10,0,30.00
Blissey,10000,310,200,600,300,0,10,0,19.99
Crustle,9900,344,580,116,400,0,10,0,30.00
Eldegoss,8002,310,200,670,149,0,10,0,19.99
Greedent,9099,345,433,117,360,0,10,0,30.00
Hoopa,7902,309,299,619,200,0,10,0,40.00
Mamoswine,9648,325,510,116,379,0,10,0,30.00
Sylveon,7148,363,260,679,191,0,10,0,39.99
Trevenant,9599,330,520,117,421,0,10,0,30.00
Wigglytuff,9452,310,539,552,482,0,10,0,20.00
Mr. Mime,9402,293,420,414,361,0,10,0,29.99
Slowbro,9400,292,421,411,360,0,10,0,30.00
Absol,6000,620,259,118,180,10,20,10,29.99
Aegislash,7302,357,250,115,174,10,20,0,44.99
Talonflame,6300,681,290,117,200,10,20,0,39.98
Zeraora,6319,649,300,118,200,10,20,0,29.99
Cramorant,6301,286,300,739,200,0,25,0,49.99
Delphox,6290,292,174,950,139,0,25,0,24.99
Espeon,6320,289,175,999,135,0,25,0,10.00
Gardevoir,6320,291,174,1001,138,0,25,0,10.00
Gengar,7200,364,260,699,189,0,25,0,39.98
Mew,6500,300,230,990,180,0,25,0,20.00
Pikachu,6300,290,175,954,135,0,25,0,10.00
Venusaur,6321,293,174,962,137,0,25,0,20.21
Ninetales,6299,289,175,1002,135,0,25,0,30.00
