name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,3250,125,80,20,64,0,0,0,10.00
Buzzwole,3250,155,100,20,70,0,0,0,10.00
Charizard,3200,161,70,20,54,0,0,0,0.00
Cinderace,3000,135,50,20,30,0,0,0,10.00
Decidueye,3000,125,50,20,30,0,0,0,10.00
Dragonite,3050,150,78,20,60,0,0,0,10.00
Duraludon,3000,135,70,20,50,0,0,0,10.00
Garchomp,3050,145,90,20,67,0,0,0,10.00
Greninja,3000,146,50,20,30,0,0,0,10.00
Lucario,3250,160,78,20,60,0,0,0,10.00
Machamp,3250,165,98,20,64,0,0,0,10.00
Tsareena,3100,155,80,20,65,0,0,0,10.00
Tyranitar,3150,150,90,20,70,0,0,0,10.00
Blastoise,3225,150,100,50,70,0,0,0,10.00
Blissey,3278,130,40,40,60,0,0,0,10.00
Crustle,3300,175,97,20,67,0,0,0,10.00
Eldegoss,3278,130,40,40,30,0,0,0,10.00
Glaceon,3200,20,35,100,25,0,0,0,10.00
Greedent,3000,170,75,20,60,0,0,0,10.00
Hoopa,3278,130,72,40,50,0,0,0,10.00
Mamoswine,3280,170,85,20,65,0,0,0,10.00
Mr. Mime,3225,150,70,50,60,0,0,0,10.00
Slowbro,3225,150,70,50,60,0,0,0,10.00
Snorlax,3300,175,97,20,70,0,0,0,10.00
Sylveon,3406,167,52,50,38,0,0,0,10.00
Trevenant,3250,175,100,20,70,0,0,0,10.00
Wigglytuff,3278,130,90,40,80,0,0,0,10.00
Absol,3000,170,52,20,36,0,0,0,10.00
Aegislash,3000,168,50,20,35,0,0,0,15.00
Talonflame,3024,200,58,20,40,0,0,0,10.00
Zeraora,3002,159,60,20,40,0,0,0,10.00
Cramorant,3292,134,60,50,40,0,0,0,10.00
Delphox,3300,134,35,80,27,0,0,0,10.00
Espeon,3200,134,35,50,27,0,0,0,10.00
Gardevoir,3200,134,35,50,27,0,0,0,10.00
Gengar,3456,167,52,80,38,0,0,0,10.00
Mew,3300,130,50,100,50,0,0,0,10.00
Ninetales,3197,134,35,51,27,0,0,0,10.00
Pikachu,3292,134,35,50,27,0,0,0,10.00
Venusaur,3300,134,35,50,27,0,0,0,10.00
