name,hp,attack,defense,sp_attack,sp_defense,crit_rate,cooldown_reduc,life_steal,speed
Azumarill,5784,310,255,72,205,0,0,10,26.52
Buzzwole,5836,325,308,73,217,20,0,10,21.35
Charizard,5553,319,216,69,166,30,0,10,0.00
Cinderace,4225,284,154,71,92,30,0,10,77.96
Decidueye,4125,296,154,89,92,30,0,20,67.5
Dragonite,5507,343,254,70,193,20,0,10,20.46
Duraludon,4362,343,201,77,135,20,0,20,80.00
Garchomp,5507,328,289,69,224,20,0,10,33.53
Greninja,4125,310,154,74,92,30,0,10,67.5
Lucario,5522,314,255,74,196,20,0,10,27.04
Machamp,5551,329,303,69,198,20,0,15,20.46
Tsareena,5294,315,248,70,199,20,0,15,30.91
Tyranitar,5868,325,304,69,229,20,0,10,20.32
Glaceon,4935,73,112,529,85,20,10,0,59.57
Snorlax,7050,272,372,74,280,0,10,0,27.04
Blastoise,6662,224,361,239,253,0,10,0,20.46
Blissey,6980,229,128,348,191,0,10,0,15.5
Crustle,6936,269,364,73,250,0,10,0,21.02
Eldegoss,5880,229,128,387,96,0,10,0,15.5
Greedent,6359,266,272,74,225,0,10,0,21.02
Hoopa,5906,232,201,369,135,0,10,0,27.04
Mamoswine,6608,251,307,70,229,0,10,0,20.46
Sylveon,5467,275,166,396,122,0,10,0,26.52
Trevenant,6748,261,332,74,264,0,10,0,21.02
Wigglytuff,6681,229,337,322,302,0,10,0,15.51
Mr. Mime,6737,231,269,257,231,0,10,0,21.35
Slowbro,6627,228,264,249,225,0,10,0,21.02
Cramorant,5002,221,196,442,131,0,15,0,32.72
Delphox,4863,217,107,535,86,0,15,0,17.84
Espeon,4918,219,112,573,86,0,15,0,10.00
Gardevoir,4832,216,107,547,85,0,15,0,10.00
Gengar,5414,270,161,404,117,0,15,0,25.66
Mew,5119,227,152,605,124,0,15,0,15.68
Pikachu,5001,223,115,563,89,0,15,0,10.00
Venusaur,4879,218,107,527,84,0,15,0,15.23
Ninetales,4906,219,112,574,86,0,15,0,21.02
Absol,4704,425,170,76,118,10,20,10,21.53
Aegislash,5250,267,154,70,107,10,20,0,44.99
Talonflame,4738,452,178,70,124,10,20,0,25.66
Zeraora,4887,437,196,76,131,10,20,0,21.35
